Utility ID,Generator ID
12,12
12,12
12,12
12,12
12,12
12,12
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,CTWR
Many,CTWR
Many,CTWR
Many,CTWR
Many,CTWR
Many,CTWR
Many,CTWR
Many,CTWR
Many,CTWR
Many,CTWR
Many,CTWR
Many,CTWR
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
4,4
4,4
4,4
4,4
4,4
4,4
3,2
3,2
3,2
3,2
3,2
3,2
3,2
3,2
3,2
3,2
3,2
3,2
4,3
4,3
4,3
4,3
4,3
4,3
4,3
4,3
4,3
4,3
4,3
4,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
7,7
7,7
7,7
7,7
7,7
7,7
7,7
7,7
7,7
7,7
7,7
7,7
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
7,7
7,7
7,7
7,7
7,7
7,7
7,7
7,7
7,7
7,7
7,7
7,7
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
Many,8
Many,8
Many,8
Many,8
Many,8
Many,8
Many,8
Many,8
Many,8
Many,8
Many,8
Many,8
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
Many,HRC
Many,HRC
Many,HRC
Many,HRC
Many,HRC
Many,HRC
Many,HRC
Many,HRC
Many,HRC
Many,HRC
Many,HRC
Many,HRC
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,1
Many,1
Many,1
Many,1
Many,1
Many,1
Many,1
Many,1
Many,1
Many,1
Many,1
Many,1
S2,S-2A
S2,S-2A
S2,S-2A
S2,S-2A
S2,S-2A
S2,S-2A
S2,S-2A
S2,S-2A
S2,S-2A
S2,S-2A
S2,S-2A
S2,S-2A
1,U1CT
1,U1CT
1,U1CT
1,U1CT
1,U1CT
1,U1CT
1,U1CT
1,U1CT
1,U1CT
1,U1CT
1,U1CT
1,U1CT
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,7
Many,7
Many,7
Many,7
Many,7
Many,7
Many,7
Many,7
Many,7
Many,7
Many,7
Many,7
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
Many,CWS
Many,CWS
Many,CWS
Many,CWS
Many,CWS
Many,CWS
Many,CWS
Many,CWS
Many,CWS
Many,CWS
Many,CWS
Many,CWS
Many,1
Many,1
Many,1
Many,1
Many,1
